chunk_size_1,downloading_time_1,chunk_size_2,downloading_time_2,chunk_size_3,downloading_time_3,chunk_size_4,downloading_time_4,chunk_size_5,downloading_time_5,chunk_size_6,downloading_time_6,chunk_size_7,downloading_time_7,chunk_size_8,downloading_time_8,bandwidth,delay,chunk_size_9,downloading_time_9
0.985803,0.112599,0.639158,0.110556,0.432084,0.50206,0.73296,0.074445,0.809428,0.142727,0.816861,0.167607,0.794233,0.531611,0.672526,0.102019,0.3092577153591555,0.098361,0.665125,0.133639
0.910458,0.206488,0.916236,0.190715,0.403777,0.044374,0.458018,0.018543,0.432149,0.011179,1.170939,0.04418,1.259004,0.045588,0.756107,0.031393,0.3092577153591555,0.056832,0.800824,0.043168
0.904656,0.029315,0.892067,0.03722,1.216363,0.051106,0.645632,0.042211,0.980933,0.052565,0.635773,0.058276,0.70716,0.037515,0.622313,0.054173,0.3092577153591555,0.045655,0.917643,0.065345
0.981179,0.069026,0.669653,0.044336,0.619537,0.039919,0.6592,0.052864,0.918153,0.060656,0.830571,0.06112,0.844896,0.057823,1.907869,0.132322,0.3092577153591555,0.053398,1.527545,0.107602
1.776363,0.384404,1.614671,0.106641,0.863105,0.049526,0.403506,0.028919,0.732192,0.048747,1.214973,0.089291,1.102155,0.068492,0.733527,0.052777,0.3092577153591555,0.048195,0.490742,0.044805
0.458663,0.053047,0.509334,0.044589,0.676857,0.062125,0.390868,0.03328,0.488925,0.044537,0.380582,0.033398,0.245209,0.023903,0.415009,0.040134,0.3092577153591555,0.047871,0.300705,0.040129
0.632713,0.059809,0.52159,0.057397,0.503219,0.043474,0.510553,0.048591,0.578001,0.056108,0.410922,0.034664,0.003643,0.001547,0.003643,0.002082,0.3092577153591555,0.047891,0.003643,0.048109
0.088587,0.01251,0.673167,0.067301,0.889383,0.087072,0.700547,0.067761,0.709377,0.063996,0.518876,0.054151,0.432976,0.036061,0.456633,0.046685,0.3092577153591555,0.048445,0.291905,0.030555
0.003643,0.010179,0.94397,0.086017,0.873826,0.080213,0.785373,0.068364,0.847311,0.073577,0.910372,0.0787,0.586088,0.043793,0.751329,0.059974,0.3092577153591555,0.049482,0.210067,0.021518
0.266287,0.021806,0.692302,0.053709,0.671895,0.062963,0.497212,0.041456,0.480952,0.040873,0.695555,0.053403,0.686238,0.228965,0.634604,0.046482,0.3092577153591555,0.047922,0.732939,0.058078
