chunk_size_1,downloading_time_1,chunk_size_2,downloading_time_2,chunk_size_3,downloading_time_3,chunk_size_4,downloading_time_4,chunk_size_5,downloading_time_5,chunk_size_6,downloading_time_6,chunk_size_7,downloading_time_7,chunk_size_8,downloading_time_8,bandwidth,delay,chunk_size_9,downloading_time_9
0.063026,0.072352,0.063026,69.080352,1.407807,0.158996,0.810057,0.20165,0.810057,70.91365,1.441024,0.140554,0.825967,0.190228,0.825967,72.606228,0.10030571389124475,0.070432,1.198106,0.111568
0.716319,0.143938,0.716319,74.302938,0.820679,0.073164,0.889307,0.172971,0.889307,76.113971,0.987566,0.090886,0.741202,0.142916,0.741202,77.924916,0.10030571389124475,0.070778,1.029148,0.151222
1.036819,79.607159,0.6357,0.050701,0.099502,0.093396,0.54623,0.140566,0.562353,0.17391,0.533109,0.140888,0.665229,0.330847,0.582673,0.225897,0.10030571389124475,0.141502,0.671117,0.159498
0.413814,0.456431,0.461292,0.111478,0.949182,0.245459,0.099285,0.044793,0.797321,0.168492,0.723162,0.165186,0.459202,0.104624,0.003643,0.003369,0.10030571389124475,0.079712,0.003643,0.001288
0.003643,0.011304,0.003643,0.013674,0.003643,0.00309,0.003643,0.090185,0.003643,0.190068,0.046286,1.264222,0.003643,0.045535,0.349325,1.374404,0.10030571389124475,0.079907,0.003643,0.007093
0.003643,0.008755,0.006526,0.016154,0.006526,0.014184,0.003643,0.011667,0.003643,0.007334,0.006526,0.016002,0.034193,0.083018,0.006526,0.020897,0.10030571389124475,0.077498,0.006555,0.022502
0.004681,0.011764,0.006526,0.02473,0.004681,0.018702,0.006526,0.016779,0.003643,0.015716,0.004053,0.015254,0.003643,0.018034,1.294004,1.254036,0.10030571389124475,0.082213,1.156352,0.656787
1.14368,0.552899,1.251528,0.507345,1.114874,0.413352,1.014011,0.314817,0.53737,0.198087,1.119981,0.268682,1.31101,0.312239,1.119443,0.292631,0.10030571389124475,0.080154,0.824977,0.188846
0.86009,0.182797,0.941196,0.239422,1.172848,0.284873,1.01424,0.304023,0.999395,0.225591,0.873173,0.238752,1.122709,0.412563,0.785404,0.329208,0.10030571389124475,0.086213,0.779183,0.220787
0.421868,0.084798,0.595386,0.133902,0.416758,0.115198,0.55838,0.128026,0.335541,0.106871,0.306745,0.083955,0.559457,0.139535,0.790638,0.48551,0.10030571389124475,0.079635,0.699757,0.163365
0.003643,0.003601,0.003643,0.003908,0.003643,0.006056,0.003643,0.005665,0.003643,0.01001,0.003643,0.008482,0.003643,0.009719,0.003643,0.007523,0.10030571389124475,0.082038,0.004771,0.007962
0.006526,0.010069,0.006526,0.014608,0.003643,0.195089,0.003643,81.828089,1.149465,0.095269,0.003643,0.002004,0.003643,83.601004,1.044301,0.086962,0.1638832116788321,0.023189,0.003643,0.003811
0.003643,85.567811,1.064521,0.082411,0.003643,87.547074,1.044641,0.093964,0.060992,0.030921,0.060992,89.871921,1.152465,0.215698,0.003643,0.007364,0.1638832116788321,0.020636,0.003643,91.462364
1.303985,0.078359,0.827674,0.100233,0.827674,93.447233,1.132886,0.091592,0.003643,95.301239,1.115869,0.094239,0.576142,0.047907,0.576142,95.819907,0.1638832116788321,0.022964,1.15078,0.089036
0.640051,0.073191,0.640051,95.847191,1.174571,0.110827,0.033566,0.206118,0.171224,0.190949,0.478381,0.231777,0.319366,0.045321,0.645122,0.11723,0.1638832116788321,0.112749,0.752374,0.274251
0.716168,0.444756,0.503115,0.102083,0.524409,0.182318,0.627494,0.110409,0.339194,0.035759,0.366119,0.065438,0.641902,0.11655,0.528939,0.105931,0.1638832116788321,0.108727,0.48481,0.110273
0.702189,0.142582,0.463388,0.093604,0.463388,105.425604,0.039626,0.212901,0.081488,0.269997,0.571701,0.572848,0.137575,0.136904,0.705477,0.649817,0.1638832116788321,0.075407,0.774204,0.604593
0.524344,0.350308,0.233327,0.129114,0.226182,0.138442,0.282445,0.147123,0.263022,0.129078,0.274944,0.110281,0.457274,0.210836,0.131281,0.083818,0.1638832116788321,0.083182,0.131281,78.691818
0.575515,0.147274,0.285618,0.030756,0.285618,80.491756,0.381237,0.09818,0.236446,0.020248,0.236446,82.258248,0.072969,0.003562,0.572845,0.066438,0.1638832116788321,0.081562,0.572845,84.291438
0.683036,0.135532,0.791861,0.091788,0.791861,86.314788,1.642205,0.323157,0.635035,0.078046,0.635035,88.180046,1.243706,0.356537,0.67385,0.236418,0.1638832116788321,0.082582,0.67385,89.745418
