chunk_size_1,downloading_time_1,chunk_size_2,downloading_time_2,chunk_size_3,downloading_time_3,chunk_size_4,downloading_time_4,chunk_size_5,downloading_time_5,chunk_size_6,downloading_time_6,chunk_size_7,downloading_time_7,chunk_size_8,downloading_time_8,bandwidth,delay,chunk_size_9,downloading_time_9
0.035867,0.168431,0.245947,0.248167,0.795127,0.220627,0.86314,0.150298,0.856778,0.069861,0.750896,0.102757,0.545052,0.005004,0.403259,0.015527,0.8713860911270983,0.122474,0.331723,0.057526
0.41089,0.065167,0.386809,0.022685,0.412384,0.040447,0.294663,0.387695,0.269387,0.065342,0.170767,0.138262,0.481141,0.099267,0.301531,0.087928,0.8713860911270983,0.110799,0.255728,0.081201
0.251319,0.071749,0.359976,0.178692,0.430042,0.211717,0.438091,0.34772,0.415717,0.337493,0.287497,0.035918,0.246303,0.046969,0.445812,0.104383,0.8713860911270983,0.079732,0.489306,0.125268
0.447216,0.106138,0.790559,0.193021,0.695107,0.154701,0.267859,0.054796,0.321942,0.077742,0.382331,0.073572,0.530133,0.114453,0.544826,0.117595,0.8713860911270983,0.080359,0.488422,0.099641
0.654186,0.162841,0.777783,0.173661,0.397429,0.101098,0.195539,0.04355,0.996177,0.23488,0.684785,0.142721,0.337193,0.058406,0.734767,0.41594,0.8713860911270983,0.083233,0.973752,0.221767
1.041481,0.287189,0.963688,0.369847,0.534765,0.108503,0.47304,0.109062,0.37226,0.080602,0.48362,0.127568,0.365787,0.051797,0.400055,0.086256,0.8713860911270983,0.086105,0.559876,0.134895
0.517192,0.122424,0.337878,0.065938,0.395143,0.083095,0.320911,0.057093,0.611273,0.143591,0.323357,0.069898,0.563608,0.126786,0.787789,0.27701,0.8713860911270983,0.084243,0.670641,0.900757
0.710895,0.15814,0.721179,0.15099,0.697659,0.166557,0.553824,0.1053,0.633717,0.120233,0.660196,0.11913,0.719059,0.116529,0.475032,0.077355,0.8713860911270983,0.079964,0.390632,0.060036
0.644185,0.113277,0.69751,0.145142,0.386883,0.057496,0.483359,0.081028,0.558505,0.110621,0.567739,1.159367,0.532557,0.071637,0.61093,0.116427,0.8713860911270983,0.081747,0.873016,0.173253
0.900625,0.203427,0.407019,0.055121,0.524065,0.098802,0.493657,0.08344,0.489848,0.104525,0.699383,0.133962,0.740244,0.150229,0.126833,0.034583,0.8713860911270983,0.079966,1.752684,0.505034
1.191863,0.493497,1.31942,0.252729,2.013531,0.467259,1.374461,0.292315,0.965034,0.137869,0.198454,0.024844,1.223618,0.943724,0.706511,0.109946,0.8713860911270983,0.093631,0.695786,0.447369
0.384903,0.045674,0.863807,0.136438,1.122866,0.181162,2.163829,0.379277,0.946533,0.142959,0.601694,0.084448,0.886597,0.118972,1.064481,0.177371,0.23915207373271888,0.092589,1.282373,0.227411
