chunk_size_1,downloading_time_1,chunk_size_2,downloading_time_2,chunk_size_3,downloading_time_3,chunk_size_4,downloading_time_4,chunk_size_5,downloading_time_5,chunk_size_6,downloading_time_6,chunk_size_7,downloading_time_7,chunk_size_8,downloading_time_8,bandwidth,delay,chunk_size_9,downloading_time_9
0.35077,0.114843,0.411143,0.047616,0.368687,0.029666,0.417385,0.039572,0.371447,0.036468,0.388031,0.038807,0.456147,0.052755,0.425737,0.034415,0.16009753287894787,0.021564,0.432883,0.036436
0.290112,0.023035,0.498679,0.061889,0.320009,0.060386,0.616846,0.070785,0.479327,0.05595,0.375435,0.050461,0.421677,0.0492,0.38398,0.057719,0.16009753287894787,0.060776,0.569615,0.071224
0.353818,0.040916,0.702552,0.060548,1.056489,0.092415,0.779427,0.069801,0.794685,0.068038,0.814561,0.068593,1.572676,0.141715,1.69769,0.138104,0.16009753287894787,0.030425,1.608472,0.133575
1.276939,0.101649,0.928878,0.070314,0.416934,0.020834,0.404846,0.028173,0.411948,0.027659,0.418252,0.026049,0.409374,0.030129,0.387545,0.024725,0.16009753287894787,0.025955,0.378022,0.034045
0.692861,0.059096,0.850043,0.067701,0.845659,0.067929,1.395903,0.117935,1.251048,0.107542,1.323056,0.105448,0.954033,0.07522,1.058724,0.088369,0.16009753287894787,0.029786,0.791455,0.062214
0.779216,0.067893,0.93554,0.072687,0.80361,0.070172,0.801692,0.063871,0.761863,0.059527,0.770829,0.062301,0.767601,0.053889,0.767604,0.069072,0.16009753287894787,0.031917,0.850198,0.068083
0.610056,0.038293,1.365377,0.119123,0.521777,0.039471,1.049373,0.084393,1.029576,0.072134,1.270486,0.095711,1.285912,0.105225,1.183482,0.090496,0.16009753287894787,0.02896,1.211856,0.09604
0.832385,0.053896,0.828983,0.069066,1.13655,0.090567,1.157626,0.325972,0.927798,0.077025,0.774076,0.066433,0.764057,0.061742,0.781927,0.062651,0.16009753287894787,0.025528,0.763281,0.067472
1.216715,0.320936,0.943311,0.087177,0.90606,0.076135,0.808064,0.067831,0.641366,0.053551,0.533559,0.043146,0.53545,0.046046,0.87926,0.078999,0.16009753287894787,0.027117,0.566584,0.048883
0.389611,0.030301,0.842945,0.076584,0.682667,0.061964,0.612269,0.052065,0.655552,0.053544,0.414185,0.029441,0.574365,0.046426,0.387571,0.02592,0.16009753287894787,0.024071,0.402326,0.027929
0.381693,0.029884,0.929491,0.075503,0.851183,0.068931,0.832,0.064507,0.792217,0.058218,0.593407,0.043002,1.524469,0.13099,1.491948,0.126228,0.16009753287894787,0.024712,1.50768,0.131288
1.472724,0.123981,1.524632,0.126638,1.467847,0.119504,1.436633,0.109578,1.528328,0.119605,1.472906,0.116387,1.176075,0.094628,0.885401,0.069993,0.2761455133387227,0.022742,0.590212,0.046258
0.596838,0.052442,0.355159,0.028281,0.229118,0.022324,0.217961,0.016038,0.430488,0.037836,0.160396,0.011909,1.057103,0.092245,1.135304,0.092513,0.2761455133387227,0.026141,0.746517,0.065859
1.886315,0.164999,1.306152,0.100092,1.245873,0.100205,0.959368,0.077276,0.766723,0.068514,1.540017,0.127463,0.128097,0.003711,0.711938,0.062518,0.2761455133387227,0.023784,1.532472,0.133216
1.297488,0.105738,1.10744,0.078947,1.026531,0.083723,0.718294,0.050904,0.65289,0.051462,1.011809,0.082276,1.251095,0.091223,0.196217,0.376808,0.2761455133387227,0.020529,0.315629,0.070471
0.51727,0.105286,0.189475,0.025905,0.551784,0.108488,0.419886,0.073746,0.335043,0.054639,0.374812,0.059336,0.273099,0.047488,0.13218,0.041747,0.2761455133387227,0.1192,0.126545,0.0348
1.047491,0.634355,0.614115,0.397393,0.579943,0.180556,0.586011,0.318846,0.964554,0.43333,0.056591,1.438142,0.102268,1.106689,0.068297,1.591738,0.2761455133387227,0.245283,0.024772,0.404717
0.114115,1.877756,0.159746,4.977945,0.032798,2.066357,0.028642,4.889466,0.010479,0.694334,0.031869,3.481129,0.586567,0.206123,1.432508,0.215182,0.2761455133387227,0.043073,1.433111,0.089927
1.592427,0.073561,1.433784,0.062624,0.860298,0.050484,0.971202,0.034401,1.004876,0.048564,0.039734,0.033878,0.894605,0.049899,1.16237,0.064622,0.2761455133387227,0.043369,1.306885,0.063631
1.358339,0.062722,1.185984,0.053608,0.18256,0.047692,1.247238,0.04345,1.283459,0.055637,0.571393,0.028572,0.57437,0.049598,1.22156,0.052554,0.2761455133387227,0.298027,0.085568,0.137973
0.003643,0.014128,0.003643,0.013061,0.003643,0.309651,0.003643,0.304867,0.003643,7.579867,0.003643,1.381754,0.006526,0.569165,0.006526,7.569165,0.2761455133387227,0.315553,0.003643,0.300447
