chunk_size_1,downloading_time_1,chunk_size_2,downloading_time_2,chunk_size_3,downloading_time_3,chunk_size_4,downloading_time_4,chunk_size_5,downloading_time_5,chunk_size_6,downloading_time_6,chunk_size_7,downloading_time_7,chunk_size_8,downloading_time_8,bandwidth,delay,chunk_size_9,downloading_time_9
0.32334,0.077755,0.575657,0.037143,0.578086,0.070514,0.610561,0.079012,0.992766,0.05969,0.546897,0.03105,0.687173,0.056538,0.048962,0.001946,0.35059001258917327,0.079898,0.41801,0.033102
0.494261,0.036681,0.476887,0.038621,0.136468,0.011815,0.514302,0.04409,0.99103,0.080996,0.55752,0.046401,1.374106,0.111048,1.358872,0.09612,0.35059001258917327,0.084664,1.04031,0.078336
0.977368,0.07589,0.934452,0.068096,0.146225,0.003625,0.818818,0.061877,0.457327,0.03551,0.375619,0.028368,0.359327,0.027532,0.416021,0.040546,0.35059001258917327,0.093808,0.270626,0.007192
0.249002,0.031495,0.208864,0.004766,0.287751,0.024779,0.432756,0.032936,0.435428,0.030712,0.340741,0.022873,0.429533,0.033564,0.355317,0.029834,0.35059001258917327,0.080616,0.348251,0.031384
0.43496,0.031441,0.473827,0.023948,0.319466,0.022189,0.204988,0.017518,0.181973,0.013505,0.263364,0.017373,0.311637,0.029654,0.484693,0.034487,0.35059001258917327,0.080261,0.602624,0.045739
0.506569,0.038708,0.220946,0.019321,0.228963,0.014206,0.313161,0.031174,0.28783,0.020193,0.297616,0.022801,0.39496,0.02402,0.588461,0.044095,0.35059001258917327,0.079872,0.933929,0.072128
0.701424,0.05593,0.670998,0.049812,0.790298,0.06206,0.828731,0.06477,0.654161,0.052402,0.586444,0.040469,0.580359,0.046049,0.727636,0.056053,0.35059001258917327,0.080317,0.801853,0.062683
0.760608,0.056012,0.517147,0.040133,0.642469,0.051345,0.648967,0.04623,0.869975,0.067557,0.33113,0.029071,0.357064,0.024692,0.38941,0.033039,0.35059001258917327,0.080739,0.37325,0.028261
0.415677,0.031987,0.364492,0.026878,0.955419,0.078122,0.875325,0.068642,0.895787,0.070889,0.003643,0.046983,0.041887,0.17647,0.003643,0.03265,0.35059001258917327,0.055827,0.003643,0.004173
0.004771,0.046252,0.003643,0.000274,0.003643,0.00265,0.003643,0.013014,0.617004,0.522109,1.615317,0.945154,1.992145,0.774889,1.642865,0.529092,0.35059001258917327,0.07629,0.003643,0.07271
0.003643,0.050155,0.003643,0.00387,0.003643,0.07608,0.062496,0.11583,1.666247,0.405569,1.107516,0.074096,0.752091,0.078976,0.758188,0.069277,0.35059001258917327,0.120436,0.758701,0.214564
0.177962,0.166392,0.003643,0.027614,0.004114,0.051319,0.003643,0.019805,0.032651,0.040599,0.470899,0.101081,0.37749,0.02271,0.003643,0.01636,0.2666959283857927,0.029696,0.722631,0.046304
0.003643,0.01923,0.003643,0.05133,0.424007,0.039362,0.294505,0.107314,0.307024,0.083492,0.372273,0.061769,0.373757,0.09229,0.63518,0.187646,0.2666959283857927,0.104028,0.239194,0.067972
