chunk_size_1,downloading_time_1,chunk_size_2,downloading_time_2,chunk_size_3,downloading_time_3,chunk_size_4,downloading_time_4,chunk_size_5,downloading_time_5,chunk_size_6,downloading_time_6,chunk_size_7,downloading_time_7,chunk_size_8,downloading_time_8,bandwidth,delay,chunk_size_9,downloading_time_9
0.390476,0.095817,0.350324,0.089825,0.359898,0.258818,0.366629,0.364646,0.05714,1.536905,0.076453,0.370182,0.148814,1.029574,0.027252,0.215632,0.0978951462352209,0.202117,0.128564,0.660883
0.128253,0.46033,0.048265,1.246153,0.104768,0.526118,0.112369,0.344284,0.018435,0.01032,1.056812,0.557591,1.368988,0.710039,0.938246,0.340759,0.0978951462352209,0.100271,0.555201,0.311729
0.091293,1.040663,0.131926,0.309359,0.157238,0.206661,0.080088,1.893973,0.050649,0.954478,0.045439,0.569448,0.081731,0.708365,0.11044,2.180201,0.0978951462352209,0.321885,0.079142,1.617115
0.072068,0.915456,0.128797,2.481132,0.161276,2.601289,0.134904,1.292561,0.13717,1.928957,0.036399,0.788102,0.032337,0.429481,0.62927,0.051424,0.0978951462352209,0.064038,0.480125,0.057962
0.398985,0.043132,0.375026,0.035295,0.434835,0.038633,0.373704,0.056527,0.372305,0.031792,0.407324,0.066993,1.135258,0.132182,1.819865,0.186666,0.0978951462352209,0.284138,0.092166,0.572862
0.273831,1.020376,0.39371,1.192899,0.373581,1.091818,0.358202,0.941937,0.309616,0.941925,0.301197,0.825878,0.59293,1.273652,0.596568,1.77995,0.0978951462352209,0.284158,0.671799,2.190842
0.682991,1.477948,1.038464,1.64771,0.710234,1.504721,0.802065,1.782707,0.932234,1.817695,0.932937,1.504564,0.484097,0.978772,0.791939,2.309928,0.0978951462352209,0.284222,1.130883,2.336778
1.109825,1.768953,1.06289,1.792884,1.049132,2.000937,1.0472,3.17669,0.873648,1.849541,0.817601,1.552839,0.812959,1.444911,0.785272,2.09371,0.0978951462352209,0.28417,0.397795,1.20583
0.447199,0.753994,0.582584,2.027761,0.56145,1.067971,0.654791,1.158682,0.825191,1.077948,0.874343,1.392585,0.900941,1.47483,0.934374,1.385749,0.0978951462352209,0.285541,0.919631,1.453459
0.922514,1.841703,0.770074,1.098589,0.592162,1.793894,0.549237,1.515864,0.542074,1.161002,0.582668,1.167822,0.561352,1.881796,0.571553,1.890801,0.0978951462352209,0.284404,0.57066,1.065596
0.627923,3.085058,0.476221,1.372731,0.598603,1.3549300009999998,1.055551,2.056583,1.083413,2.127438,1.024408,1.849458,1.000076,1.747775,0.801888,1.671967,0.0978951462352209,0.2841,0.650275,1.7829
0.621763,1.107956,1.073782,2.014886,1.502565,2.37156,1.422649,2.299238,1.392617,2.369221,1.042605,1.463651,1.270522,2.446659,1.47163,2.150887,0.007226045971473224,0.285643,1.428911,2.094357
1.639413,1.885651,1.321042,1.639338,1.163913,2.409743,1.120059,1.272836,0.960728,1.461792,0.887345,1.445045,0.893829,1.661878,0.977859,1.486606,0.007226045971473224,0.284407,0.966031,2.067593
0.941659,1.450606,0.927595,1.178694,0.862802,2.368947,0.543377,1.180585,0.493077,1.244637,0.529953,0.847935,0.606121,1.059744,0.643481,1.168019,0.007226045971473224,0.284305,0.629479,1.294695
0.635814,0.955098,0.527006,1.603059,0.544538,1.119874,0.498557,0.790872,0.51545,1.040954,1.384598,1.875781,2.210625,2.556349,1.767752,2.118866,0.007226045971473224,0.284297,1.130889,1.582703
1.721422,2.851046,1.220323,1.360015,1.22403,1.549957,1.48721,1.667791,1.413149,1.670889,1.325022,3.4755,1.333547,1.977961,1.3124,1.956928,0.007226045971473224,0.284211,1.37866,1.816789
0.848456,1.274697,1.685098,1.927854,1.489922,1.759088,1.577257,1.805897,1.487814,3.076596,1.441266,1.986649,1.311225,1.630735,1.495355,2.069874,0.007226045971473224,0.284077,1.351889,1.671923
1.169774,1.295064,1.110117,3.337135,0.958421,1.41028,0.771036,1.35081,0.848752,1.204005,0.855289,1.436783,0.797781,1.212891,0.552161,1.184617,0.007226045971473224,0.283977,0.594109,0.930023
0.513374,1.049539,0.541953,1.08267,0.61438,0.991761,0.873753,1.460033,0.864134,1.251522,0.872273,1.563888,1.078071,1.496746,1.413486,1.924559,0.007226045971473224,0.284059,1.270664,1.843941
1.380443,1.708716,1.733276,1.923754,1.552314,1.745015,1.505041,2.734003,1.251134,1.658724,1.201591,1.345836,1.199208,1.589863,1.432831,1.948771,0.007226045971473224,0.284079,0.86565,1.521921
0.851047,1.430729,0.860011,1.665339,0.89924,1.309791,0.852366,1.193612,0.843312,1.431567,0.843677,1.640812,0.840084,1.499941,0.867959,1.937969,0.007226045971473224,0.284227,0.832289,1.375773
0.557038,1.266914,0.51928,1.051978,0.498081,0.894992,0.503567,1.544708,0.574252,1.406997,0.639154,0.968716,0.634858,0.963757,0.471845,1.137025,0.007226045971473224,0.284688,0.452544,1.978312
0.53666,0.925698,0.539365,1.145657,0.457252,1.000627,1.186614,1.697982,1.269678,1.966882,1.191353,2.267776,1.07274,1.866374,1.006302,1.433764,0.1224155272137654,0.284049,0.955131,2.327951
1.067517,2.019713,1.058976,2.251835,1.058976,14.369835,1.058976,0.088204,1.097813,1.528382,1.097813,11.987382,1.097813,0.094923,1.04672,1.643572,0.1224155272137654,0.284428,1.04672,10.312572
