chunk_size_1,downloading_time_1,chunk_size_2,downloading_time_2,chunk_size_3,downloading_time_3,chunk_size_4,downloading_time_4,chunk_size_5,downloading_time_5,chunk_size_6,downloading_time_6,chunk_size_7,downloading_time_7,chunk_size_8,downloading_time_8,bandwidth,delay,chunk_size_9,downloading_time_9
0.003643,0.010395,0.003643,156.612395,0.615028,0.112742,0.003643,0.010222,0.003643,158.595222,0.84222,0.119289,0.003643,160.529708,0.500678,0.108702,0.36891139240506327,0.021387,0.003643,0.011613
0.003643,162.621613,0.535342,0.200906,0.003643,164.756831,0.669156,0.378601,0.003643,166.446437,0.567872,0.103666,0.003643,0.013047,0.003643,168.458047,0.36891139240506327,0.042208,0.544724,0.124792
0.003643,0.024817,0.003643,170.407817,0.63898,0.114273,0.003643,0.614083,0.003643,158.110083,0.679366,0.112393,0.003643,159.190853,1.119202,0.401459,0.36891139240506327,0.32212,0.003643,161.31788
1.231516,0.394525,0.003643,163.018008,1.274425,0.188793,0.003643,165.314701,2.776806,0.521449,0.003643,167.086133,2.751366,0.472534,0.003643,7.9e-05,0.36891139240506327,0.184921,0.003643,168.673079
1.151599,0.130575,0.003643,170.466664,0.598692,0.084683,0.003643,172.15877,0.605457,0.142598,0.003643,172.174494,1.432756,0.140321,0.003643,172.169371,0.36891139240506327,0.042316,1.282706,0.121684
0.003643,172.454164,1.24254,0.401458,0.003643,171.820601,0.003626,0.016615,0.003643,0.069379,0.003643,171.851379,0.003626,0.020666,0.003643,0.009081,0.36891139240506327,0.100919,0.003643,171.820081
0.003626,0.019684,0.006526,0.03898,0.006526,172.02098,1.456886,0.221178,0.006526,0.003864,0.006526,172.216864,1.339472,0.402235,0.006526,172.022211,0.36891139240506327,0.042247,1.128364,0.207753
0.006526,0.001795,0.006526,13.087795,0.006526,172.004795,0.003643,0.095938,0.003643,159.012938,0.924248,0.15996,0.004681,11.195794,0.004681,171.932794,0.36891139240506327,0.093198,0.003643,160.734802
0.827926,0.101505,0.003643,0.009541,0.003643,9.277541,0.003643,171.941541,0.003643,162.662101,0.846485,0.124594,0.006526,0.00158,0.006526,7.48258,0.36891139240506327,0.09142,0.006526,172.03258
0.003643,0.098379,0.003643,164.648379,0.782882,0.198007,0.003643,0.001704,0.003643,166.337704,0.494354,0.097158,0.003643,0.082389,0.003643,168.260389,0.36891139240506327,0.04276,0.497305,0.12024
