chunk_size_1,downloading_time_1,chunk_size_2,downloading_time_2,chunk_size_3,downloading_time_3,chunk_size_4,downloading_time_4,chunk_size_5,downloading_time_5,chunk_size_6,downloading_time_6,chunk_size_7,downloading_time_7,chunk_size_8,downloading_time_8,bandwidth,delay,chunk_size_9,downloading_time_9
0.036225,0.12198,0.550039,0.053698,0.611561,0.069685,0.675728,0.078671,0.003643,0.247462,0.003643,37.629462,1.652695,0.521188,0.003643,0.236457,0.1619111111111111,0.231543,0.003643,39.008457
1.360355,0.388249,0.003643,0.006327,0.003643,40.475327,1.291601,0.324175,0.003643,0.008445,0.003643,42.181445,0.997303,0.266675,0.003643,0.229833,0.1619111111111111,0.232167,0.003643,43.992833
1.342369,0.325159,0.003643,45.412226,0.92072,0.220057,0.003643,0.00018,0.003643,0.006348,0.003643,0.01497,1.114166,0.267109,0.389591,0.070796,0.1619111111111111,0.036786,0.635362,0.065214
0.606751,0.065176,0.423937,0.043818,0.431434,0.04366,0.394276,0.043799,0.136532,0.118984,0.599855,0.406983,0.582442,0.390624,0.583374,0.373237,0.1619111111111111,0.111672,0.553939,0.347328
0.660493,0.434197,0.118109,0.072769,0.876482,0.598459,0.764714,0.505244,0.011119,0.017924,0.535972,0.351639,0.754038,0.561824,0.745856,0.568366,0.1619111111111111,0.115144,0.088363,0.044856
0.655568,0.511986,0.575049,0.336939,0.669849,0.503183,0.488462,0.306365,0.568548,0.411165,0.522901,0.337034,0.482365,0.306968,0.568588,0.413911,0.1619111111111111,0.10688,0.495717,0.41412
0.541254,0.419731,0.568004,0.3792,0.554745,0.423887,0.556666,0.438556,0.444263,0.237804,0.562545,0.377153,0.551283,0.356187,0.45728,0.293572,0.1619111111111111,0.085978,0.566669,0.381022
0.577533,0.386629,0.635525,0.469591,0.132919,0.042434,0.003643,0.01575,0.003643,0.031844,0.003643,0.028526,0.003643,0.095749,0.006526,0.009836,0.1619111111111111,0.120025,0.065307,0.085975
0.13207,0.050106,0.463309,0.257924,0.531615,0.478669,0.413745,0.312446,0.19535,0.04858,0.240979,0.308973,0.395328,0.211286,0.375155,0.500105,0.1619111111111111,0.151176,0.518039,0.517824
0.368836,0.329881,0.835337,0.966862,1.460178,1.013695,0.648488,0.258591,0.270864,0.174905,0.70826,1.401565,1.104861,0.777154,1.266679,0.914479,0.1619111111111111,0.112991,1.066611,0.696009
0.584374,0.365079,0.672829,0.461296,0.816951,0.62043,0.629521,0.395515,0.560737,0.366091,0.281428,0.175534,0.089598,0.061502,0.288566,0.234219,0.1619111111111111,0.091273,0.350309,0.223727
0.289292,0.250219,0.22452,0.162041,0.346844,0.156748,0.38884,0.220543,0.39134,0.351231,0.429063,0.392239,0.562548,0.40481,0.849579,0.610279,0.037621493246252045,0.134861,0.56075,0.345139
0.499719,0.312087,0.67426,0.537158,0.639023,0.47265,0.491555,0.410992,0.392838,0.224269,0.353849,0.220483,0.161817,0.102854,0.003643,0.047716,0.037621493246252045,0.166659,0.003643,0.135341
0.073319,0.327507,0.148461,0.1541,0.227098,0.229659,0.179603,0.064796,0.094132,0.0319,0.093345,0.035112,0.10171,0.040311,0.530132,0.401604,0.037621493246252045,0.221142,0.440982,0.230858
0.057809,0.033376,0.51508,0.339159,0.662479,0.521987,0.626255,0.443832,0.308717,0.153965,0.579872,0.459827,0.4494,0.260848,0.031682,0.006737,0.037621493246252045,0.090822,1.24041,1.056178
1.470177,1.034372,0.09474,0.026253,0.475142,0.314212,0.836633,0.630491,0.887947,0.596519,0.363234,0.204987,0.003643,0.024174,0.003643,0.045433,0.037621493246252045,0.098265,0.003643,0.063735
0.003643,0.035781,0.003643,0.038607,0.006526,0.005835,0.004681,0.030014,0.003643,0.034067,0.003643,0.023769,0.003643,0.015555,0.003643,0.058796,0.037621493246252045,0.118172,0.622508,0.449828
0.341981,0.660476,0.401881,0.261093,0.24177,0.154171,0.346481,0.471428,0.316806,2.161723,0.430556,0.288801,0.425803,0.274908,0.612464,0.564148,0.037621493246252045,0.154863,0.630838,0.347137
0.564848,0.367575,0.548959,0.460576,0.511784,0.344593,0.593496,0.473366,0.361523,0.208077,0.33015,0.202702,0.361373,0.225456,0.288064,0.17367,0.037621493246252045,0.076192,0.304258,0.200808
0.335448,0.216649,0.368436,0.239466,0.416179,0.264386,0.30008,0.567199,0.406427,0.223989,0.323545,0.467052,0.337045,0.221756,0.348157,0.232929,0.037621493246252045,0.078227,0.274011,0.183773
0.345588,0.230859,0.003643,0.013062,0.003643,0.00911,0.003643,0.109088,0.034276,0.042486,1.331245,1.030451,0.921447,0.802918,0.754754,0.626213,0.037621493246252045,0.131026,0.722544,0.598974
0.469682,1.158604,0.577421,1.022411,0.495296,1.091992,0.495864,1.011137,0.566283,0.329473,0.575096,0.406058,0.290842,0.186061,0.003643,0.005253,0.037621493246252045,0.080293,0.003643,0.010707
0.003643,0.050486,0.003643,0.039558,0.042172,0.009672,0.003643,0.095556,0.69886,0.45844,0.490125,0.331931,0.003643,0.090851,0.006526,0.00537,0.03884308048639259,0.091921,0.003643,0.009079
0.003643,0.114634,0.003643,0.139001,0.003643,0.004001,0.033541,0.006908,0.630203,0.4342,0.425392,0.310098,0.368904,0.260848,0.351488,0.240981,0.03884308048639259,0.076222,0.255732,0.179778
0.396748,0.581766,0.470678,0.32093,0.51862,0.512929,0.513546,0.321545,0.473207,0.724361,0.516019,0.299418,0.46271,0.528262,0.489602,0.68355,0.03884308048639259,0.090768,0.546469,0.591232
0.509367,0.33694,0.648051,0.416625,0.281048,0.171539,0.336668,0.229009,0.360907,0.309063,0.315595,0.204105,0.393886,0.276899,0.269865,0.209223,0.03884308048639259,0.109018,0.366698,0.216982
0.349511,0.223892,0.289465,0.187438,0.374748,0.411292,0.317934,0.208044,0.340898,0.212532,0.408736,0.513724,0.346625,0.10961,0.393818,0.256074,0.03884308048639259,0.088365,0.138956,0.107635
0.035107,0.032787,0.349933,0.810765,0.30893,0.180311,0.353484,0.204894,0.29602,0.367364,0.345695,0.474097,0.364762,0.387996,0.294674,0.156288,0.03884308048639259,0.083115,0.504821,0.337885
0.341178,0.227098,0.345896,0.203237,0.505008,0.568248,0.477717,0.238316,0.52393,0.389194,0.487308,0.307612,0.410687,0.26788,0.387349,0.466413,0.03884308048639259,0.17266,0.317799,0.35634
0.324444,0.189491,0.332297,0.212252,0.382808,0.264429,0.358013,0.224574,0.289881,0.174345,0.355183,0.237604,0.34729,0.217855,0.392802,0.306188,0.03884308048639259,0.093178,0.370453,0.236822
0.296436,0.34128,0.348319,0.236852,0.322008,0.220512,0.498831,0.340918,0.790965,0.670235,0.562073,0.514608,0.494357,0.616221,0.406162,0.272266,0.03884308048639259,0.085246,0.438858,0.294754
0.44535,0.306115,0.026976,0.054349,0.365065,0.24903,0.377918,0.250138,0.487986,0.357411,0.635963,0.416268,0.366347,0.231406,0.264867,0.165374,0.03884308048639259,0.102773,0.221088,0.157227
0.4421,0.305356,0.482766,0.321225,0.50716,0.335881,0.349405,0.21177,0.578918,0.538152,0.442126,0.410007,0.392135,0.320399,0.3,0.196723,0.03884308048639259,0.095774,0.329409,0.483226
0.320751,0.784171,0.432521,0.133637,0.428283,1.032767,0.57937,0.157793,0.168361,0.133679,0.003643,0.015633,0.003643,0.032611,0.003643,0.18566,0.041572005383580087,0.101759,0.003643,0.065241
0.026744,0.06093,0.003643,0.093165,0.773306,0.527971,0.003643,0.015893,0.52595,0.416264,0.668001,0.498579,0.601893,0.413637,0.681073,0.465799,0.041572005383580087,0.10089,0.596195,0.39111
