segment_index,bitrate_kbps,download_time_ms,cumulative_qoe,average_qoe
1,1850,5077.145731619044,1.8191584434161694,0.9095792217080847
2,4300,11082.720012345924,3.638316886832339,1.2127722956107796
3,4300,11681.599597832217,6.300904713857792,1.575226178464448
4,4300,10148.748448970511,8.963492540883244,1.7926985081766489
5,4300,10916.727152454365,11.626080367908697,1.9376800613181162
6,4300,9576.738313523454,14.28866819493415,2.0412383135620216
7,4300,1242.7525766856259,16.9512560219596,2.11890700274495
8,4300,736.1712085076435,19.613843848985056,2.1793159832205617
9,4300,664.1762521014974,22.27643167601051,2.227643167601051
10,4300,714.6009305235173,24.939019503035965,2.2671835911850877
11,4300,694.5838839582437,27.60160733006142,2.300133944171785
12,4300,658.0022285647261,30.264195157086874,2.328015012083606
13,4300,700.7581811784024,32.92678298411233,2.3519130702937376
14,4300,719.0807810958031,35.58937081113778,2.372624720742519
15,4300,664.6152239041312,38.25195863816324,2.3907474148852024
16,4300,709.6215704824976,40.91454646518869,2.4067380273640406
17,4300,784.3572660433875,43.57713429221415,2.420951905123008
18,4300,889.7787056367432,46.2397221192396,2.433669585223137
19,4300,707.7537817690396,48.902309946265056,2.4451154973132527
20,4300,791.7584525601533,51.56489777329051,2.4554713225376434
21,4300,909.7229559586824,54.227485600315966,2.464885709105271
22,4300,835.747153059255,56.89007342734142,2.4734814533626706
23,4300,849.1264234703725,59.552661254366875,2.48136088559862
24,4300,917.521351766513,62.21524908139233,2.4886099632556933
25,4300,931.0182626232174,64.87783690841778,2.4953014195545298
26,4300,894.9074021419771,67.54042473544322,2.501497212423823
27,4300,732.7782903212401,70.20301256246867,2.5072504486595952
28,4300,658.2515895773595,72.86560038949412,2.512606909982556
29,4300,838.160586722545,75.52818821651957,2.5176062738839855
30,4300,822.2341673982662,78.19077604354501,2.5222830981788715
31,4300,797.9320344358858,80.85336387057046,2.526667620955327
32,4300,697.2636312535133,83.51595169759591,2.530786415078664
33,4300,721.7011161969003,86.17853952462136,2.534662927194746
34,4300,856.6811572773424,88.8411273516468,2.538317924332766
35,4300,857.7593127334993,91.50371517867225,2.541769866074229
36,4300,747.7225599315068,94.1663030056977,2.545035216370208
37,4300,853.428260063068,96.82889083272315,2.5481287061242934
38,4300,747.5607493971434,99.4914786597486,2.551063555378169
39,4300,859.1382818203942,102.15406648677404,2.5538516621693512
40,4300,578.2508152835239,104.81665431379949,2.556503763751207
41,4300,970.3670668953688,107.47924214082494,2.559029574781546
42,4300,686.9226842580595,110.14182996785038,2.5614379062290786
43,4300,703.8883260690305,112.80441779487583,2.5637367680653598
44,4300,711.010752688172,115.46700562190128,2.565933458264473
45,4300,750.4422264171625,118.12959344892673,2.5680346401940595
46,4300,723.8698568062352,120.79218127595217,2.570046410126642
47,4300,706.6210120136844,123.45476910297762,2.5719743563120336
48,4300,748.8318879783594,126.11735693000307,2.573823610816389
49,4300,600.3745455828893,128.77994475702852,2.5755988951405704
50,4300,634.4642985256179,131.44253258405396,2.5773045604716462
51,4300,692.1886114117829,134.1051204110794,2.578944623289989
52,4300,894.0641272150912,136.76770823810486,2.580522796945375
53,4300,938.5524086680871,139.4302960651303,2.5820425197246353
54,4300,11929.204832603833,142.09288389215575,2.5835069798573773
55,4300,10808.119449347412,144.7554717191812,2.5849191378425216
56,4300,10724.65096790422,147.41805954620665,2.586281746424678
57,4300,11030.490604378734,150.0806473732321,2.5875973685040017
58,4300,9908.534598637729,152.74323520025754,2.588868393224704
59,1850,4220.491844146191,153.71896426006444,2.5619827376677407
60,1850,308.933025765336,155.5381227034806,2.5498052902209936
61,4300,658.0022285647261,157.35728114689678,2.5380206636596254
62,4300,700.7581811784024,160.01986897392223,2.539997920220988
63,4300,714.8448606169605,162.68245680094768,2.5419133875148074
64,4300,659.347812487782,165.34504462797312,2.5437699173534325
65,4300,703.9863940258826,168.00763245499857,2.5455701887120994
66,4300,678.4762872893615,170.67022028202402,2.547316720627224
67,4300,770.970142792201,173.33280810904947,2.54901188395661
68,4300,641.9009776095869,175.9953959360749,2.550657912117028
69,4300,693.1674550614948,178.65798376310036,2.5522569109014337
70,4300,805.7456204048289,181.3205715901258,2.5538108674665607
71,4300,787.2480711627485,183.98315941715126,2.555321658571545
72,4300,769.0656087885261,186.6457472441767,2.556791058139407
73,4300,920.7961354643096,189.30833507120215,2.5582207442054345
74,4300,960.1350531887558,191.9709228982276,2.5596123053097015
75,4300,910.8654699864891,194.63351072525305,2.5609672463849087
76,4300,847.6193784983594,197.2960985522785,2.562286994185435
77,4300,806.3926267281106,199.95868637930394,2.5635729022987683
78,4300,834.1283290683348,202.6212742063294,2.5648262557763215
79,4300,828.9735570088143,205.28386203335484,2.5660482754169354
80,4300,733.5003947969913,207.94644986038028,2.56724012173309
81,4300,720.9902339691643,210.60903768740573,2.568402898626899
82,4300,852.2967901704924,213.27162551443118,2.569537656800376
83,4300,789.1628454916175,215.93421334145663,2.5706453969221026
84,4300,824.3867693701858,218.59680116848207,2.5717270725703774
85,4300,702.5503493134185,221.25938899550752,2.572783592971018
86,4300,741.5950774913675,223.92197682253297,2.573815825546356
87,4300,793.2820740302627,226.58456464955842,2.5748245982904368
88,4300,758.017808219178,229.24715247658386,2.5758107019840883
89,4300,510.9787243150685,231.9097403036093,2.5767748922623257
90,4300,893.5937673900946,234.57232813063476,2.577717891545437
91,4300,807.6330921906882,237.2349159576602,2.5786403908441327
92,4300,867.728595765393,239.89750378468565,2.579543051448233
93,4300,892.112602159217,242.5600916117111,2.580426506507565
94,4300,921.2434668550096,245.22267943873655,2.5812913625130163
95,4300,629.9265716417324,247.885267265762,2.5821382006850206
96,4300,697.7507755134095,250.54785509278744,2.5829675782761594
97,4300,752.3570372146941,253.2104429198129,2.583780029794009
98,4300,765.1401123799167,255.87303074683834,2.5845760681498824
99,4300,806.3697661772702,258.5356185738638,2.5853561857386382
100,4300,711.7087676028324,261.19820640088926,2.5861208554543493
101,4300,689.0912562654149,263.8607942279147,2.586870531646223
102,4300,643.8557159495994,266.52338205494016,2.5876056510188366
103,4300,723.6882634915726,269.1859698819656,2.5883266334804387
104,4300,640.1944873975568,271.84855770899105,2.589033882942772
105,4300,914.8637946266175,274.5111455360165,2.5897277880756273
106,4300,971.9051603180377,277.17373336304195,2.5904087230190838
107,4300,10638.649418350504,279.8363211900674,2.5910770480561798
108,4300,12173.710666446837,282.49890901709284,2.5917331102485583
109,4300,10523.418836561377,285.1614968441183,2.592377244037439
110,4300,9904.834928133288,287.82408467114374,2.5930097718121057
111,4300,10436.131437159007,290.4866724981692,2.593631004447939
112,1850,4261.077765607886,291.462401557976,2.5793132881236818
113,1850,323.5375060878827,293.28156000139217,2.5726452631701067
114,4300,703.9863940258826,295.1007184448083,2.5660932038678985
115,4300,678.4762872893615,297.76330627183376,2.5669250540675326
116,4300,769.2944442272354,300.4258940988592,2.5677426846056344
117,4300,636.81917347617,303.08848192588465,2.5685464569990226
118,4300,687.6667318293779,305.7510697529101,2.56933672061269
119,4300,696.9018649567971,308.41365757993555,2.5701138131661296
120,4300,681.9983177694417,311.076245406961,2.570878061214554
121,4300,697.3421633554084,313.73883323398644,2.5716297806064463
122,4300,710.972563859981,316.4014210610119,2.572369276918796
123,4300,850.2663156939276,319.06400888803734,2.5730968458712686
124,4300,857.9003358446038,321.7265967150628,2.573812773720502
125,4300,767.7040847465016,324.38918454208823,2.574517337635621
126,4300,803.4627238733771,327.0517723691137,2.5752108060560133
127,4300,902.868389948096,329.7143601961391,2.575893439032337
128,4300,843.7290098436595,332.3769480231646,2.5765654885516636
129,4300,848.4578266743872,335.03953585019,2.5772271988476154
130,4300,883.6931899641577,337.70212367721547,2.5778788066963014
131,4300,850.6105415985054,340.3647115042409,2.578520541698795
132,4300,824.4462136290399,343.02729933126636,2.579152626550875
133,4300,757.7640360719777,345.6898871582918,2.5797752773006852
134,4300,726.4621618252088,348.35247498531726,2.5803887035949424
135,4300,875.8932755500524,351.0150628123427,2.5809931089142846
136,4300,732.4550077052455,353.67765063936815,2.581588690798308
137,4300,801.1552333484368,356.3402384663936,2.582175641060823
138,4300,480.5020075483819,359.00282629341905,2.5827541459958203
139,4300,776.3709949409781,361.6654141204445,2.5833243865746036
140,4300,857.1294790280448,364.32800194746994,2.5838865386345384
141,4300,769.8359635198976,366.9905897744954,2.5844407730598267
142,4300,760.0263698630137,369.65317760152084,2.584987255954691
143,4300,848.438508625487,372.3157654285463,2.585526148809349
144,4300,740.320905212391,374.97835325557173,2.5860576086591154
145,4300,860.1206619615479,377.6409410825972,2.586581788236967
146,4300,943.1122536987962,380.3035289096226,2.587098836119882
147,4300,849.5707799414791,382.9661167366481,2.5876088968692437
148,4300,701.4154788549888,385.6287045636735,2.5881121111655943
149,4300,702.7728040208898,388.29129239069897,2.5886086159379933
150,4300,692.3274573290163,390.9538802177244,2.589098544488241
151,4300,816.6320471991963,393.61646804474987,2.5895820266101963
152,4300,844.8598876200833,396.2790558717753,2.590059188704414
153,4300,658.2047497812077,398.94164369880076,2.5905301538883165
154,4300,705.0132866576498,401.6042315258262,2.5909950421021044
155,4300,666.5079942116967,404.26681935285166,2.5914539702105874
156,4300,653.8396014469048,406.9294071798771,2.5919070521011283
157,4300,706.7870728312973,409.59199500690255,2.5923543987778643
158,4300,916.6290079509432,412.254582833928,2.5927961184523776
159,4300,868.0061840669334,414.91717066095345,2.593232316630959
160,4300,11347.905316835999,417.5797584879789,2.5936630961986267
161,4300,12133.886922623411,420.24234631500434,2.5940885575000268
162,4300,9894.341469452163,422.9049341420298,2.5945087984173605
163,4300,10565.12612324234,425.56752196905524,2.5949239144454586
164,4300,10108.641493272637,428.2301097960807,2.5953339987641253
165,1850,4054.9440674435527,429.2058388558875,2.5855773425053465
166,1850,257.1496266176643,431.02499729930366,2.5809880077802614
167,4300,687.6667318293779,432.8441557427198,2.57645330799238
168,4300,696.9018649567971,435.50674356974525,2.5769629797026345
169,4300,680.9666497243618,438.1693313967707,2.577466655275122
170,4300,691.8073268952575,440.83191922379615,2.577964439905241
171,4300,662.9116784611174,443.4945070508216,2.578456436341986
172,4300,698.4848887672518,446.15709487784704,2.5789427449586535
173,4300,700.8921137908036,448.8196827048725,2.579423463821106
174,4300,683.0249132765689,451.48227053189794,2.5798986887537025
175,4300,716.7716808577736,454.1448583589234,2.580368513402974
176,4300,846.1327040029046,456.80744618594883,2.580833029299146
177,4300,748.1106925660343,459.4700340129743,2.581292325915586
178,4300,770.6806748332534,462.13262183999973,2.5817464907262555
179,4300,961.3387635541395,464.7952096670252,2.582195609261251
180,4300,866.7082583894341,467.4577974940506,2.5826397651605006
181,4300,877.2576722640417,470.12038532107607,2.5830790402256927
182,4300,852.5531750627292,472.7829731481015,2.5835135144705
183,4300,855.5444444444445,475.44556097512697,2.583943266169168
184,4300,845.1233058477869,478.1081488021524,2.5843683719035266
185,4300,862.1972798786845,480.77073662917786,2.584788906608483
186,4300,699.5744088434526,483.4333244562033,2.5852049436160605
187,4300,747.0215683829946,486.09591228322876,2.585616554698025
188,4300,822.069149442804,488.7585001102542,2.5860238101071653
189,4300,888.3599456275488,491.42108793727965,2.5864267786172612
190,4300,734.8338921613049,494.0836757643051,2.586825527561807
