Last1_chunk_bitrate,Last1_buffer_size,Last8_throughput,Last7_throughput,Last6_throughput,Last5_throughput,Last4_throughput,Last3_throughput,Last2_throughput,Last1_throughput,Last8_downloadtime,Last7_downloadtime,Last6_downloadtime,Last5_downloadtime,Last4_downloadtime,Last3_downloadtime,Last2_downloadtime,Last1_downloadtime,chunksize1,chunksize2,chunksize3,chunksize4,chunksize5,chunksize6,Chunks_left,br,qoe_2
0.1744186046511628,0.8917371371831854,0.05294361371868443,0.25897556085849127,0.15822278810991794,0.38389921235646973,0.18802430641097279,0.614616260403792,0.11470726772765553,0.25915553065495023,1.7333261247077945,0.9306306698646317,1.214779081972233,1.9860480812947212,0.6776732656122338,0.11637693354758524,0.17094799750440434,0.03528097431664448,0.16087682012019838,0.34956547776767155,0.4673757770280471,0.7838196862124996,1.356745722512311,2.057649598265069,0.19729759946765665,1200.0,-14.90016
0.1744186046511628,0.8917371371831854,0.05294361371868443,0.25897556085849127,0.15822278810991794,0.38389921235646973,0.18802430641097279,0.614616260403792,0.11470726772765553,0.25915553065495023,1.7333261247077945,0.9306306698646317,1.214779081972233,1.9860480812947212,0.6776732656122338,0.11637693354758524,0.17094799750440434,0.045280974358320236,0.16087682012019838,0.34956547776767155,0.4673757770280471,0.7838196862124996,1.356745722512311,2.057649598265069,0.19729759946765665,750.0,1.83258
---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
0.1744186046511628,0.956765361619891,0.1937056552221365,0.4999466732024569,0.5909029977380226,0.27842108614456773,0.5164391785924565,0.07356867630652711,0.2756748311112919,0.29318893589860223,1.8347559821013248,0.5688961443932788,2.141552655574354,1.309145913816966,2.787452684396005,0.2618893042590627,0.4052259490077167,0.0968431814293376,0.15910313996375613,0.3014978083018255,0.6186598628292106,0.8595495763177106,1.6260474142349064,1.7934121530064133,0.6350574048312078,1200.0,-14.90016
0.1744186046511628,0.956765361619891,0.1937056552221365,0.4999466732024569,0.5909029977380226,0.27842108614456773,0.5164391785924565,0.07356867630652711,0.2756748311112919,0.29318893589860223,1.8347559821013248,0.5688961443932788,2.141552655574354,1.309145913816966,2.787452684396005,0.2618893042590627,0.4052259490077167,0.10684318095445633,0.15910313996375613,0.3014978083018255,0.6186598628292106,0.8595495763177106,1.6260474142349064,1.7934121530064133,0.6350574048312078,750.0,1.83258
---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
0.27906976744186046,1.0622499348976149,0.6119325435140044,0.4886493436350219,0.4986424499251695,0.2959703658395801,0.12943221469811542,0.23660587409894474,0.28622050671961186,0.18564332741265036,1.8811011856876128,1.3895172437779748,1.7758097520727758,0.5068391876947036,0.7170705062604247,0.6790860468483909,0.4429888256700882,0.1581665323859353,0.15566503252408928,0.2714521326642862,0.5920625480920181,0.8661909096911233,1.2304676988499894,1.9804963133085838,0.40638919363105735,1200.0,-13.96015
0.27906976744186046,1.0622499348976149,0.6119325435140044,0.4886493436350219,0.4986424499251695,0.2959703658395801,0.12943221469811542,0.23660587409894474,0.28622050671961186,0.18564332741265036,1.8811011856876128,1.3895172437779748,1.7758097520727758,0.5068391876947036,0.7170705062604247,0.6790860468483909,0.4429888256700882,0.1621665358543396,0.15566503252408928,0.2714521326642862,0.5920625480920181,0.8661909096911233,1.2304676988499894,1.9804963133085838,0.40638919363105735,750.0,1.83258
---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
0.27906976744186046,0.9581377933919225,0.3240571063857688,0.08439918015612599,0.1496912089000514,0.4522331231878084,0.27523143401829997,0.264962810993415,0.23949919843026674,0.35568214955204697,1.1416114440672185,0.38712155800582065,1.8927605094325697,0.340926130363774,0.09633901498555317,0.4231252471476077,0.23467686330750182,0.5581370311521857,0.1496366240195493,0.4228593997534379,0.7036047925974436,0.7731932710017702,0.8965380471522459,1.764392730278998,0.5771085253206462,1200.0,-13.96015
0.27906976744186046,0.9581377933919225,0.3240571063857688,0.08439918015612599,0.1496912089000514,0.4522331231878084,0.27523143401829997,0.264962810993415,0.23949919843026674,0.35568214955204697,1.1416114440672185,0.38712155800582065,1.8927605094325697,0.340926130363774,0.09633901498555317,0.4231252471476077,0.23467686330750182,0.5681370496749878,0.1496366240195493,0.4228593997534379,0.7036047925974436,0.7731932710017702,0.8965380471522459,1.764392730278998,0.5771085253206462,750.0,1.83258
---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
0.6627906976744186,1.4036664482304941,0.5562286535666031,0.3250617653400516,0.41194235744697805,0.11992741391171788,0.24788736125802635,0.2602583039013119,0.29873656961562056,0.40228932511833926,0.27974968198674555,2.1687756636903,0.11395703760137399,0.722057778458279,0.7434455119285006,0.22730128829309226,0.2837864714766584,0.42478074909266794,0.11477662693425103,0.29181771794545214,0.5298621950532486,0.694919418867127,1.6975616753551646,2.0558504434499327,0.18772699692836353,2850.0,-12.23016
0.6627906976744186,1.4036664482304941,0.5562286535666031,0.3250617653400516,0.41194235744697805,0.11992741391171788,0.24788736125802635,0.2602583039013119,0.29873656961562056,0.40228932511833926,0.27974968198674555,2.1687756636903,0.11395703760137399,0.722057778458279,0.7434455119285006,0.22730128829309226,0.2837864714766584,0.43078067898750305,0.11477662693425103,0.29181771794545214,0.5298621950532486,0.694919418867127,1.6975616753551646,2.0558504434499327,0.18772699692836353,1200.0,2.77259
---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
0.43023255813953487,0.9734304265004794,0.350035380097849,0.6354398561588401,0.11497968269732949,0.5745389117612484,0.1050749396582169,0.48393092662817616,0.25416971391155113,0.15752096231138865,1.4539406219080144,0.9905949201215318,1.246381768727056,0.8710104491407143,0.6026431070297917,0.45539658503873137,0.5925286283448421,0.7136564988166476,0.16735039949787003,0.3629886953666591,0.5771316337496815,0.9635673576279121,0.9905416524733766,2.1053037999998447,0.8439276899643914,750.0,-13.09442
0.43023255813953487,0.9734304265004794,0.350035380097849,0.6354398561588401,0.11497968269732949,0.5745389117612484,0.1050749396582169,0.48393092662817616,0.25416971391155113,0.15752096231138865,1.4539406219080144,0.9905949201215318,1.246381768727056,0.8710104491407143,0.6026431070297917,0.45539658503873137,0.5925286283448421,0.7236564755439758,0.16735039949787003,0.3629886953666591,0.5771316337496815,0.9635673576279121,0.9905416524733766,2.1053037999998447,0.8439276899643914,300.0,0.0
---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
0.27906976744186046,1.014266258271296,0.34662439921061927,0.5518871736740991,0.15570816514661368,0.3455699928816961,0.10563612165219699,0.3483431826916479,0.34178782605346847,0.20246268236789894,0.9850754641510509,1.900700568776279,0.9046640050285516,0.40533254682835185,0.9849221659701516,0.23376142338554745,0.1915408269438116,0.6022317984996362,0.1690752401027815,0.37783731376690743,0.5703525829605938,0.7912503464152186,1.643236527416116,1.8194121307262991,0.2590623105054788,750.0,-13.96015
0.27906976744186046,1.014266258271296,0.34662439921061927,0.5518871736740991,0.15570816514661368,0.3455699928816961,0.10563612165219699,0.3483431826916479,0.34178782605346847,0.20246268236789894,0.9850754641510509,1.900700568776279,0.9046640050285516,0.40533254682835185,0.9849221659701516,0.23376142338554745,0.1915408269438116,0.6122317910194397,0.1690752401027815,0.37783731376690743,0.5703525829605938,0.7912503464152186,1.643236527416116,1.8194121307262991,0.2590623105054788,300.0,0.0
---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
0.27906976744186046,0.8095303460103168,0.06762868217072347,0.027276228564374255,0.09904076791081767,0.16293237822592796,0.20997229913565252,0.22423408953075155,0.17275185254991815,0.12971247239855896,1.5161267412515236,1.4316135896176125,0.6729726011283872,1.7022175086266902,0.11357007378750203,0.4968393894003768,0.5328610938138109,0.44388318516808933,0.12482237182223754,0.29442064727388373,0.5464063468470448,0.9829949419024198,1.4295387064523846,1.5480646006514185,0.1314179796555586,750.0,-13.96015
0.27906976744186046,0.8095303460103168,0.06762868217072347,0.027276228564374255,0.09904076791081767,0.16293237822592796,0.20997229913565252,0.22423408953075155,0.17275185254991815,0.12971247239855896,1.5161267412515236,1.4316135896176125,0.6729726011283872,1.7022175086266902,0.11357007378750203,0.4968393894003768,0.5328610938138109,0.45388317108154297,0.12482237182223754,0.29442064727388373,0.5464063468470448,0.9829949419024198,1.4295387064523846,1.5480646006514185,0.1314179796555586,300.0,0.0
---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
0.43023255813953487,1.1001230474612869,0.4142145263516102,0.38310967182094124,0.16269743622811111,0.3997282047517804,0.10863383809782032,0.2779031888966869,0.5083436072152315,0.135250366318712,1.383411814911131,0.3976586418929953,1.5478897297511685,1.2785038679144751,0.928651698681319,0.25406809051045826,0.49907177072720227,0.5402797772528716,0.1776417225350792,0.3289368219468728,0.6930889926106218,0.7060692827732711,1.1255146756780963,1.7468852247977564,0.08415489018806303,1200.0,-13.09442
0.43023255813953487,1.1001230474612869,0.4142145263516102,0.38310967182094124,0.16269743622811111,0.3997282047517804,0.10863383809782032,0.2779031888966869,0.5083436072152315,0.135250366318712,1.383411814911131,0.3976586418929953,1.5478897297511685,1.2785038679144751,0.928651698681319,0.25406809051045826,0.49907177072720227,0.5502797961235046,0.1776417225350792,0.3289368219468728,0.6930889926106218,0.7060692827732711,1.1255146756780963,1.7468852247977564,0.08415489018806303,750.0,1.83258
---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
0.27906976744186046,0.9710791334837476,0.39816188229629595,0.46720581028670216,0.6253422021607815,0.16658487801448094,0.2551118301035615,0.32278826094134777,0.3311989191135195,0.19735349868197366,0.09934725733204458,1.0326375371807168,1.4207035257957326,0.755092879681224,0.28257842523776333,0.442864944240921,0.35892078086654516,0.35526086834995085,0.11246249715731504,0.3957340881938659,0.6434181953738838,0.9732666496347091,0.9627370464750503,2.189528437949539,0.10281719064346856,1200.0,-13.96015
0.27906976744186046,0.9710791334837476,0.39816188229629595,0.46720581028670216,0.6253422021607815,0.16658487801448094,0.2551118301035615,0.32278826094134777,0.3311989191135195,0.19735349868197366,0.09934725733204458,1.0326375371807168,1.4207035257957326,0.755092879681224,0.28257842523776333,0.442864944240921,0.35892078086654516,0.3612608015537262,0.11246249715731504,0.3957340881938659,0.6434181953738838,0.9732666496347091,0.9627370464750503,2.189528437949539,0.10281719064346856,750.0,1.83258
---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
0.1744186046511628,0.7907320367479619,0.1306070760638089,0.44298138962940836,0.5788064676461168,0.48968162618732175,0.3892334476530211,0.5637202908610224,0.13360888292463266,0.19516046681656748,2.3138058594926894,0.6591444924848431,1.1991595386008298,1.4233097857671442,0.4569751758083931,0.7174664075695821,0.6230705672269805,0.24998103920608739,0.14193915804728977,0.43894264261161164,0.6833133583443496,0.7168570428160176,1.1639674333872618,1.9581881261226348,0.4018901373406015,750.0,-14.90016
0.1744186046511628,0.7907320367479619,0.1306070760638089,0.44298138962940836,0.5788064676461168,0.48968162618732175,0.3892334476530211,0.5637202908610224,0.13360888292463266,0.19516046681656748,2.3138058594926894,0.6591444924848431,1.1991595386008298,1.4233097857671442,0.4569751758083931,0.7174664075695821,0.6230705672269805,0.25998103618621826,0.14193915804728977,0.43894264261161164,0.6833133583443496,0.7168570428160176,1.1639674333872618,1.9581881261226348,0.4018901373406015,300.0,0.0
---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
0.27906976744186046,1.0640256720367725,0.020654604388847832,0.2602589750379598,0.4509836464988935,0.5568676040064139,0.21296135572857683,0.368378362496778,0.21410860725388509,0.08538288717041598,2.261123732126815,1.1378959090598357,0.6382147654351394,1.1468663140380364,0.41463628049360296,0.21334100937599032,0.16929532752856039,0.5145619328061428,0.1517168324621392,0.4274046972566673,0.6227375940770755,0.8504799971088446,1.192077569697196,1.6703437933503722,0.21331605106591936,750.0,-13.96015
0.27906976744186046,1.0640256720367725,0.020654604388847832,0.2602589750379598,0.4509836464988935,0.5568676040064139,0.21296135572857683,0.368378362496778,0.21410860725388509,0.08538288717041598,2.261123732126815,1.1378959090598357,0.6382147654351394,1.1468663140380364,0.41463628049360296,0.21334100937599032,0.16929532752856039,0.5245619416236877,0.1517168324621392,0.4274046972566673,0.6227375940770755,0.8504799971088446,1.192077569697196,1.6703437933503722,0.21331605106591936,300.0,0.0
---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
0.43023255813953487,1.439181584205279,0.6558527131487942,0.2981176392144879,0.31143018841114495,0.5718189382910527,0.30551586090461835,0.3461125426429025,0.192530120232987,0.1334965392521371,0.40113524617331336,2.5617504252205183,1.0476316823408625,1.427456084462791,0.2773704918825976,0.059508538117751836,0.6469739803815058,0.4152162625008459,0.16635364465800512,0.2934905128567674,0.5960209675506463,1.0247022745764076,1.4062896515336778,1.969968884770854,0.44603758324734116,1200.0,-13.09442
0.43023255813953487,1.439181584205279,0.6558527131487942,0.2981176392144879,0.31143018841114495,0.5718189382910527,0.30551586090461835,0.3461125426429025,0.192530120232987,0.1334965392521371,0.40113524617331336,2.5617504252205183,1.0476316823408625,1.427456084462791,0.2773704918825976,0.059508538117751836,0.6469739803815058,0.41921621561050415,0.16635364465800512,0.2934905128567674,0.5960209675506463,1.0247022745764076,1.4062896515336778,1.969968884770854,0.44603758324734116,750.0,1.83258
---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
